Syntax version=4
Sun Nov 24 22:27:38 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		akcelerometer[0]	akcelerometer[1]	akcelerometer[2]	gyroskope[0]	gyroskope[1]	gyroskope[2]
D:	time(ms)	(0x20000780,7)	(0x20000788,7)	(0x20000790,7)	(0x20000798,7)	(0x200007a0,7)	(0x200007a8,7)
D:	1062.06	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1063.08	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1064.07	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1064.96	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.051133
D:	1065.83	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1066.72	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1067.61	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1068.48	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1069.36	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1070.28	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1071.15	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1072.06	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.051133
D:	1072.96	1.240620	0.773591	-9.800420	-0.022371	0.031958	0.034088
D:	1073.84	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1074.73	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1075.64	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1076.51	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1077.46	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1078.36	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1079.28	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1080.17	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1081.07	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1081.91	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1082.83	1.082549	0.919687	-9.903406	-0.040480	0.010653	0.034088
D:	1083.71	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1084.59	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1085.41	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1086.26	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1087.10	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1087.92	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1088.79	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1089.63	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1090.50	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
D:	1091.45	1.173560	0.900527	-9.874666	-0.066046	0.006392	0.015979
